エアコンの冷房をつけて,ac_cool
冷房をつけて,ac_cool
冷房オン,ac_cool
エアコン冷房,ac_cool
暑い,ac_cool
あつい,ac_cool
冷やして,ac_cool
涼しくして,ac_cool
エアコンの暖房をつけて,ac_warm
暖房をつけて,ac_warm
エアコン暖房,ac_warm
寒い,ac_warm
暖かくして,ac_warm
あたたかくして,ac_warm
あったかくして,ac_warm
暖房オン,ac_warm
エアコン消して,ac_off
エアコン止めて,ac_off
エアコンけして,ac_off
エアコンとめて,ac_off
風を止めて,ac_off
風をとめて,ac_off
除湿して,ac_dehum
除湿,ac_dehum
湿度を下げて,ac_dehum
湿度をさげて,ac_dehum
暗くして,light_off
消灯,light_off
おやすみ,light_off
おやすみなさい,light_off
あかるくして,light_on
明るくして,light_on
暗い,light_on
映画を見る明るさにして,light_theater
シアターモード,light_theater
シアター,light_theater
映画をみるよ,light_theater
テレビをつけて,tv_onoff
テレビを点けて,tv_onoff
テレビオン,tv_onoff
テレビをけして,tv_onoff
テレビを消して,tv_onoff
テレビオフ,tv_onoff
いっちゃん,tv_nhk
1チャン,tv_nhk
1チャンネル,tv_nhk
NHK,tv_nhk
NHK教育,tv_etele
Eテレ,tv_etele
イーテレ,tv_etele
教育テレビ,tv_etele
日本テレビ,tv_ntv
日テレ,tv_ntv
にってれ,tv_ntv
4ちゃんねる,tv_ntv
4チャンネル,tv_ntv
よんチャン,tv_ntv
よんちゃん,tv_ntv
朝日,tv_asahi
テレビ朝日,tv_asahi
テレ朝,tv_asahi
5チャンネル,tv_asahi
ごチャン,tv_asahi
ごちゃん,tv_asahi
TBS,tv_tbs
ティービーエス,tv_tbs
6チャンネル,tv_tbs
ろくチャン,tv_tbs
ろくちゃん,tv_tbs
テレビ東京,tv_tokyo
テレ東,tv_tokyo
てれとう,tv_tokyo
7チャンネル,tv_tokyo
ななチャン,tv_tokyo
ななちゃん,tv_tokyo
フジレレビ,tv_fuji
フジ,tv_fuji
8チャンネル,tv_fuji
はっチャン,tv_fuji
はっちゃん,tv_fuji
音量上げて,tv_volup
音量アップ,tv_volup
音量大きくして,tv_volup
音が聞こえない,tv_volup
音量下げて,tv_voldown
音量小さくして,tv_voldown
音が大きい,tv_voldown
音量ダウン,tv_voldown
ミュート,tv_mute
音を消して,tv_mute
スキップ,tv_skip
CM飛ばして,tv_skip
CMスキップ,tv_skip
次,tv_skip
次へ,tv_skip
止めて,tv_stop
テレビ止めて,tv_stop
再生止めて,tv_stop
ストップ,tv_stop
戻って,tv_back
戻る,tv_back
前,tv_back
再開,tv_start
再生して,tv_start
進めて,tv_start
開始,tv_start
青,tv_blue
赤,tv_red
緑,tv_green
黄色,tv_yellow
